gene,5ss_pairing,3ss_alternative,PSI,index,prob_5ss,prob_3ss
AT4G26900,1489,1576,0.5017499999999999,935,0.13318798175420998,0.0029670968956733708
AT4G26900,1489,1573,90.92875,935,0.13318798175420998,0.030865049902296313
AT4G26900,1489,1569,6.0695,935,0.13318798175420998,0.0725366295232835
AT4G31430,1299,1407,7.413250000000001,994,0.9897396109850677,0.1675219452715847
AT4G31430,1299,1377,92.58675,994,0.9897396109850677,0.8279680442562511
AT2G01620,713,802,0.041,7,0.9289533670060458,0.0031182271042599504
AT2G01620,713,799,12.108,7,0.9289533670060458,0.026846565582060306
AT2G01620,713,793,87.85075,7,0.9289533670060458,0.9250331602869802
AT2G36960,2187,2394,82.06499999999998,419,0.9639035955917832,0.7357590758794749
AT2G36960,2187,2391,17.935000000000002,419,0.9639035955917832,0.13421492373191635
AT2G21150,1637,1731,81.11749999999999,211,0.9994567662856594,0.9206887053996684
AT2G21150,1637,1718,16.3825,211,0.9994567662856594,0.03730974680661553
