gene,5ss_pairing,3ss_alternative,PSI
AT2G26260,417,500,20.406
AT2G26260,417,492,79.594
AT4G20070,2110,2189,89.00050000000002
AT4G20070,2110,2179,8.499500000000001
AT2G36380,3590,3671,0.1025
AT2G36380,3590,3662,83.26624999999999
AT2G36380,3590,3656,11.63125
AT3G19290,2417,2667,86.2465
AT3G19290,2417,2664,8.607499999999998
AT3G19290,2417,2646,0.146
AT3G05420,1628,1743,47.667
AT3G05420,1628,1740,51.648250000000004
AT3G05420,1628,1723,0.6855
AT4G21160,1728,1847,10.318
AT4G21160,1728,1844,89.682
AT1G08680,4060,4141,93.07750000000001
AT1G08680,4060,4135,6.922499999999999
AT1G08680,3592,3924,29.410000000000004
AT1G08680,3592,3921,70.59
AT5G65050,2749,2898,2.14875
AT5G65050,2749,2867,12.25125
AT5G65050,2749,2845,0.038
AT5G65050,2749,2838,0.02025
AT5G65050,2749,2834,83.0415
AT5G65050,2935,3052,7.952500000000001
AT5G65050,2935,3048,92.03025
AT5G65050,2935,3016,0.016999999999999998
AT1G03430,705,879,3.28325
AT1G03430,705,848,87.09200000000001
AT1G03430,705,820,4.624750000000001
AT5G13280,606,695,97.31224999999999
AT5G13280,606,690,2.6877500000000003
AT5G14060,358,705,66.7175
AT5G14060,358,699,28.282500000000006
AT2G02470,1687,1787,49.75975
AT2G02470,1687,1760,50.19225
AT2G02470,1687,1731,0.04775
AT5G04930,2764,2873,93.28
AT5G04930,2764,2868,4.220000000000001
AT5G04930,3535,3630,9.19825
AT5G04930,3535,3621,90.80175
AT2G40190,1243,1367,0.1325
AT2G40190,1243,1352,69.2585
AT2G40190,1243,1341,28.109
AT5G59950,1296,1398,0.03075
AT5G59950,1296,1393,95.25674999999998
AT5G59950,1296,1390,4.71225
AT1G08980,1420,1501,10.20875
AT1G08980,1420,1488,82.29125
AT5G47840,336,466,0.0
AT5G47840,336,420,95.34825
AT5G47840,336,412,4.65175
AT3G10480,1034,1127,26.02925
AT3G10480,1034,1124,73.97075
AT1G27450,363,564,2.1075
AT1G27450,363,561,90.08275
AT1G27450,363,558,2.8474999999999997
AT1G27450,363,513,2.4619999999999997
AT4G32320,1631,1723,94.99324999999999
AT4G32320,1631,1701,5.00675
AT4G08390,362,524,0.024
AT4G08390,362,454,4.718500000000001
AT4G08390,362,451,95.25750000000001
AT4G08390,2226,2307,95.8605
AT4G08390,2226,2304,4.1395
AT1G77490,573,716,43.622249999999994
AT1G77490,573,711,51.377750000000006
AT5G62000,4512,4607,56.4145
AT5G62000,4512,4604,43.5855
AT4G01710,367,462,23.204
AT4G01710,367,452,2.4565
AT4G01710,367,436,74.33924999999999
AT3G05840,385,951,10.92175
AT3G05840,385,922,89.07825
AT5G64940,4384,4527,29.85125
AT5G64940,4384,4475,0.631
AT5G64940,4384,4472,69.51775
AT5G21222,3184,3409,18.369
AT5G21222,3184,3367,0.24375
AT5G21222,3184,3363,78.8875
AT1G11840,78,647,82.76050000000001
AT1G11840,78,622,16.86325
AT1G11840,78,511,0.37625000000000003
AT1G28210,4944,5375,73.7975
AT1G28210,4944,5339,23.33625
AT1G28210,4944,5308,0.3665
AT1G31020,797,884,19.833
AT1G31020,797,880,80.167
AT1G11870,343,418,9.945749999999999
AT1G11870,343,415,21.683999999999997
AT1G11870,343,412,68.37049999999999
AT1G11870,565,805,90.7525
AT1G11870,565,802,0.09424999999999999
AT1G11870,565,798,8.80675
AT1G11870,565,781,0.346
AT5G12210,537,655,0.0935
AT5G12210,537,651,11.533750000000001
AT5G12210,537,648,85.87275
AT5G45300,588,766,14.5425
AT5G45300,588,760,80.0275
AT5G45300,588,737,0.43
AT5G57150,270,460,0.08825
AT5G57150,270,368,0.0
AT5G57150,270,365,0.0
AT5G57150,270,351,9.33075
AT5G57150,270,348,90.58125
AT1G68920,1365,1453,8.60575
AT1G68920,1365,1450,83.89425
AT4G38200,1482,1705,66.59425000000002
AT4G38200,1482,1695,33.40575
AT1G79110,765,849,89.229
AT1G79110,765,840,10.77125
AT4G02640,658,1086,0.58775
AT4G02640,658,1083,0.0465
AT4G02640,658,1051,0.05900000000000001
AT4G02640,658,1024,0.039749999999999994
AT4G02640,658,1021,69.569
AT4G02640,658,1003,27.072249999999997
AT4G02640,658,988,0.07325
AT4G02640,658,958,0.008
AT4G02640,658,871,0.044500000000000005
AT2G38040,3740,3823,79.211
AT2G38040,3740,3815,20.789
AT2G40410,525,631,3.4332499999999997
AT2G40410,525,625,91.56675
