gene,5ss,3ss,PSI
AT2G26260,3327,3414,6.52475
AT5G13050,1244,1510,12.4485
AT2G31830,4790,4870,97.4975
AT1G20560,345,477,14.34275
AT1G30520,2655,2722,12.828
AT5G23050,1641,1727,19.482499999999998
AT5G23050,2369,2580,8.6495
AT5G23050,2676,2942,11.6455
AT4G25450,1242,1435,10.07025
AT4G18050,3769,3894,94.7875
AT2G01320,3528,3700,50.404999999999994
AT2G01320,2584,2751,10.83525
AT1G49720,155,777,84.70174999999999
AT1G45249,2141,2246,6.18175
AT3G19290,2417,2664,30.947749999999996
AT2G46225,1691,1787,8.1845
AT4G27780,1092,1171,5.05175
AT4G24230,1504,1609,31.729750000000003
AT5G04740,862,1108,9.13825
AT2G03730,1056,1134,6.94975
AT3G51840,1993,2285,6.125
AT3G46010,172,614,95.36875
AT5G57360,2789,2896,100.0
AT2G38960,2368,2707,97.5
AT3G26810,1954,2032,6.14175
AT4G24740,315,931,11.26625
AT4G24740,2725,2817,7.917
AT4G24740,2921,2999,2.472
AT4G24740,1122,1299,11.85
AT4G24740,1564,1672,5.85375
AT4G24740,1722,1819,8.0815
AT4G24740,1935,2083,9.64375
AT4G24740,2556,2626,6.393249999999999
AT4G32660,1002,1093,35.653000000000006
AT4G32660,1393,1665,18.34875
AT4G32660,1781,1915,13.117750000000001
AT4G32660,2008,2136,13.840250000000001
AT4G28910,1998,2070,2.657
AT2G37550,2060,2140,4.843500000000001
AT3G57230,610,1812,10.61275
AT3G57230,2347,2705,5.733
AT3G57230,2806,2898,7.806749999999999
AT3G57390,2085,2172,4.93275
AT1G77080,342,2811,6.3767499999999995
AT1G77080,2870,3079,22.26525
AT1G77080,3850,4221,15.89
AT5G65050,2749,2834,45.182
AT2G46330,371,527,5.554
AT3G61640,510,631,10.11975
AT2G38400,2161,2332,97.5
AT1G03430,705,848,12.52025
AT4G29010,3990,4080,3.091
AT1G08780,404,1127,5.27225
AT5G14060,358,705,5.0285
AT5G14060,3099,3180,8.32825
AT4G35450,215,312,20.24575
AT5G66055,1169,1264,7.53525
AT5G66055,1550,1628,10.9935
AT3G42790,413,673,3.7112499999999997
AT5G44240,260,596,95.0
AT1G50200,5120,5206,8.423750000000002
AT1G79440,1204,1313,4.58875
AT2G14170,3383,3451,3.8280000000000003
AT5G60360,2127,2217,90.67474999999999
AT2G40190,1243,1352,12.917000000000002
AT1G02145,3730,3807,6.533500000000001
AT1G02145,243,311,10.40525
AT3G12740,521,728,8.241
AT2G22260,1780,1861,10.6875
AT5G59950,467,662,15.578250000000002
AT5G59950,1296,1390,14.02325
AT3G21430,4717,4800,84.58250000000001
AT5G37720,860,1669,15.397
AT5G37720,1814,1894,4.064500000000001
AT5G64240,622,710,12.056000000000001
AT5G47840,336,420,6.568249999999999
AT1G48790,1433,1611,5.674249999999999
AT1G10600,438,749,7.244750000000001
AT2G33480,481,557,7.52775
AT2G33480,812,900,25.322499999999998
AT3G10490,470,894,7.3875
AT5G20380,3728,3940,10.77525
AT5G20380,1104,1309,13.404499999999999
AT2G39090,3483,3610,32.25775
AT4G36050,123,208,12.456999999999999
AT5G35790,2123,2200,7.784750000000001
AT1G34780,857,939,5.7975
AT5G61380,710,1026,9.780750000000001
AT5G61380,1777,1860,12.30275
AT4G18020,3596,3704,16.137
AT5G02810,1138,1270,27.83375
AT5G02810,1741,2032,12.885
AT4G00760,4234,4486,56.95150000000001
AT1G27450,363,513,59.25274999999999
AT4G22570,2670,2736,8.678999999999998
AT3G10360,3470,3583,4.187
AT4G32320,1247,1404,18.77825
AT4G32320,1808,1886,4.327
AT1G66680,441,600,6.791499999999999
AT4G16130,5397,5511,4.86725
AT2G46530,1642,1733,4.821250000000001
AT1G05890,614,766,97.22225
AT1G05890,810,917,94.72975
AT2G31510,4087,4387,12.023500000000002
AT1G65430,3613,3874,8.626249999999999
AT2G17410,2376,2558,7.0815
AT2G17410,3280,3401,6.408000000000001
AT1G76510,4018,4155,100.0
AT1G01950,4058,4193,7.366
AT5G56180,838,951,12.6715
AT5G56180,2149,2437,9.53125
AT3G16857,3027,3249,32.00025000000001
AT2G29690,2632,2694,4.8845
AT2G45950,2237,2652,17.197
AT3G61415,3273,3449,5.797
AT1G57870,4742,4892,95.0
AT4G31990,2771,2941,96.18575000000001
AT4G32200,3549,3589,100.0
AT3G18240,2869,2949,73.6905
AT5G52210,854,1157,5.118250000000001
AT1G55590,938,1027,40.360749999999996
AT5G21222,4237,4322,7.4719999999999995
AT5G56340,278,740,9.467250000000002
AT1G56280,969,1083,99.35225
AT1G56280,1572,1652,7.4465
AT1G07645,608,701,63.11075000000001
AT4G25640,1779,1852,5.960500000000001
AT4G25640,2092,2390,100.0
AT3G62770,2149,2294,3.1399999999999997
AT5G54730,2074,2146,18.1505
AT4G17330,6481,6720,8.321250000000001
AT4G17330,2731,2883,5.781999999999999
