gene,5ss,3ss,PSI,index,prob,classification
AT2G26550,795,570,,277,0.365488332641516,non-SE
AT2G26550,1010,927,0.05925,277,0.6161706154672035,SE
AT2G26550,1685,1576,,277,0.2807653201805357,non-SE
AT2G26550,1181,1097,0.0,277,0.028077439081781206,SE
AT2G26550,1915,1768,,277,0.7173292073820743,non-SE
AT2G29530,1141,1070,,308,0.6274345720800092,non-SE
AT2G29530,429,375,,308,0.4477671143224522,non-SE
AT2G29530,625,552,0.0,308,1.8508472745867802e-05,SE
AT2G29530,945,905,,308,0.5159786633195292,non-SE
AT2G29640,1157,1119,,310,0.025621048836476826,non-SE
AT2G29640,1016,869,0.382,310,0.0034463270780428538,SE
AT2G29640,598,173,,310,0.007648709754594671,non-SE
AT2G30370,648,554,,318,0.15359055831265997,non-SE
AT2G30370,1134,957,3.3942499999999995,318,0.09896204993735613,SE
AT4G17570,1515,1133,,809,0.47129249367456294,non-SE
AT4G17570,930,852,0.0,809,0.007935867665629762,SE
AT4G17570,1995,1594,,809,0.9363465562513549,non-SE
AT4G17570,2162,2088,,809,0.9482519486784492,non-SE
AT4G17570,2380,2275,,809,0.7250574397526043,non-SE
AT4G17570,2653,2462,,809,0.0938484021427268,non-SE
AT4G17570,2849,2727,,809,0.10522852945240929,non-SE
AT4G23450,1277,984,,893,0.9405600506963153,non-SE
AT4G23450,1462,1351,,893,0.9951644911111283,non-SE
AT4G23450,905,840,,893,2.5083137878029e-05,non-SE
AT4G23450,653,314,0.0,893,6.903863343536881e-07,SE
